漢字,読み
士（武士）,し（ぶし）
久しい,ひさしい
仏,ほとけ
支える,ささえる
比べる,くらべる
弁（弁当）,べん（べんとう）
布,ぬの
句（俳句）,く（はいく）
旧（旧式）,きゅう（きゅうしき）
刊（朝刊）,かん（ちょうかん）
犯（犯人）,はん（はんにん）
示す,しめす
史（歴史）,し（れきし）
可（可能）,か（かのう）
永い,ながい
圧（気圧）,あつ（きあつ）
任せる,まかせる
在る,ある
団（団体）,だん（だんたい）
再び,ふたたび
仮,かり
件,けん
因（原因）,いん（げんいん）
余る,あまる
条（条件）,じょう（じょうけん）
序（順序）,じょ（じゅんじょ）
似る,にる
防ぐ,ふせぐ
判（判断）,はん（はんだん）
状（状況）,じょう（じょうきょう）
志,こころざし
災（災害）,さい（さいがい）
告げる,つげる
均（平均）,きん（へいきん）
技（技術）,ぎ（ぎじゅつ）
快い,こころよい
応える,こたえる
囲む,かこむ
武（武士）,ぶ（ぶし）
非（非常）,ひ（ひじょう）
毒,どく
性（性格）,せい（せいかく）
制（制服）,せい（せいふく）
肥える,こえる
版（出版）,はん（しゅっぱん）
招く,まねく
述べる,のべる
舎（校舎）,しゃ（こうしゃ）
枝,えだ
妻,つま
効く,きく
居る,いる
河,かわ
価（価格）,か（かかく）
往（往復）,おう（おうふく）
易しい,やさしい
迷う,まよう
保つ,たもつ
独り,ひとり
則（規則）,そく（きそく）
祖（祖父）,そ（そふ）
故（事故）,こ（じこ）
限る,かぎる
型,かた
政（政治）,せい（せいじ）
査（検査）,さ（けんさ）
厚い,あつい
逆（逆転）,ぎゃく（ぎゃくてん）
紀（世紀）,き（せいき）
留める,とめる
能（能力）,のう（のうりょく）
造る,つくる
素（素材）,そ（そざい）
容（容器）,よう（ようき）
脈（山脈）,みゃく（さんみゃく）
粉,こな
破る,やぶる
修める,おさめる
師（教師）,し（きょうし）
殺す,ころす
桜,さくら
財（財産）,ざい（ざいさん）
航（航空）,こう（こうくう）
耕す,たがやす
個,こ
格（性格）,かく（せいかく）
益（利益）,えき（りえき）
略（省略）,りゃく（しょうりゃく）
率いる,ひきいる
設ける,もうける
接（直接）,せつ（ちょくせつ）
貧しい,まずしい
得る,える
務める,つとめる
婦（主婦）,ふ（しゅふ）
断る,ことわる
堂（食堂）,どう（しょくどう）
停（停止）,てい（ていし）
張る,はる
責める,せめる
情け,なさけ
険しい,けわしい
経る,へる
許す,ゆるす
救う,すくう
規（規則）,き（きそく）
寄る,よる
基（基本）,き（きほん）
常,つね
術（技術）,じゅつ（ぎじゅつ）
授（授業）,じゅ（じゅぎょう）
採る,とる
混ぜる,まぜる
現れる,あらわれる
眼（眼科）,がん（がんか）
液（液体）,えき（えきたい）
移る,うつる
貿（貿易）,ぼう（ぼうえき）
貸す,かす
属（金属）,ぞく（きんぞく）
測る,はかる
絶える,たえる
税（税金）,ぜい（ぜいきん）
象,ぞう
報（情報）,ほう（じょうほう）
復（復習）,ふく（ふくしゅう）
評（評価）,ひょう（ひょうか）
備える,そなえる
費（費用）,ひ（ひよう）
統（統一）,とう（とういつ）
程（程度）,てい（ていど）
提（提案）,てい（ていあん）
貯（貯金）,ちょ（ちょきん）
証（証明）,しょう（しょうめい）
減る,へる
検（検査）,けん（けんさ）
喜ぶ,よろこぶ
過ぎる,すぎる
資（資料）,し（しりょう）
罪,つみ
営む,いとなむ
夢,ゆめ
豊か,ゆたか
墓,はか
損（損害）,そん（そんがい）
勢い,いきおい
準（準備）,じゅん（じゅんび）
飼う,かう
鉱（鉱山）,こう（こうざん）
禁（禁止）,きん（きんし）
義（義務）,ぎ（ぎむ）
幹（新幹線）,かん（しんかんせん）
解く,とく
増える,ふえる
像（銅像）,ぞう（どうぞう）
総（総合）,そう（そうごう）
製（製品）,せい（せいひん）
歴（歴史）,れき（れきし）
領（領土）,りょう（りょうど）
綿,わた
複（複数）,ふく（ふくすう）
銅（銅像）,どう（どうぞう）
適（適切）,てき（てきせつ）
態（状態）,たい（じょうたい）
精（精神）,せい（せいしん）
酸（酸素）,さん（さんそ）
雑（雑誌）,ざつ（ざっし）
際（国際）,さい（こくさい）
構える,かまえる
境（環境）,きょう（かんきょう）
慣れる,なれる
演（演奏）,えん（えんそう）
編む,あむ
潔（清潔）,けつ（せいけつ）
導く,みちびく
賞（賞金）,しょう（しょうきん）
暴れる,あばれる
質（質問）,しつ（しつもん）
賛（賛成）,さん（さんせい）
確かめる,たしかめる
輸（輸入）,ゆ（ゆにゅう）
興（興味）,きょう（きょうみ）
燃える,もえる
築く,きずく
衛（衛星）,えい（えいせい）
績（成績）,せき（せいせき）
講（講義）,こう（こうぎ）
謝（感謝）,しゃ（かんしゃ）
職（職業）,しょく（しょくぎょう）
額,ひたい
織る,おる
識（知識）,しき（ちしき）
護（保護）,ご（ほご）
